country_name,value_bd
Afghanistan,580846.759
Albania,187892.123
Algeria,394440.042
Angola,690.44
Anguilla,3945.9700000000003
Antigua,6037.601
Argentina,6904818.873
Armenia,27986.702
Aruba,1294.72
Australia,564274499.936
Austria,21011186.772
Azerbaijan,470492.749
Bahamas,2134.835
Bahrain,5232.275
Bangladesh,12249841.406
Barbados,21859.89
Belarus,613972.695
Belgium,21450355.827
Belize,65857.352
Benin (Dahomey),15742.84
Bhutan,1104.36
Bolivia,49564.988
Bosnia & Herzegovina,353919.322
Botswana,10130.88
Bouvet Island,53.21
Brazil,500062465.438
British Indian Ocean Territory,9457.12
Brunei,26955.447000000004
Bulgaria,3243753.785
Burkina Faso,41118.685000000005
Burundi,2573.597
Cambodia,4341628.228
Cameroon,150146.866
Canada,69480054.742
Cape Verde,2456.81
Central African Republic,41055.215
Chile,106180251.362
China,837429756.631
Cocos Islands,801.075
Colombia,1118814.088
Comoro Islands,12220.862000000001
Cook Island,353.15
Costa Rica,792428.143
Countries And Territories Not Specified For Commercial Or Military Reasons,21168994.159
Croatia,791290.762
Cuba,73062.212
Cyprus,2287787.577
Czech Republic,18150986.052
Democratic Republic Of Congo,32397181.964
Denmark,17398562.99
Dominica,1769.678
Dominican Republic,423026.38
Duty Free & Warehouse,359897.909
Ecuador,2317674.443
Egypt,42115808.133
El Salvador,133755.101
Equat Guinea,11980.632000000001
Eritrea,3011.676
Estonia,2874363.337
Ethiopia,581708.084
Falkland Island,7967.472
Faroe Islands,277.541
Fiji,168685.783
Finland,3418218.928
Fr Polynesia,1466.3
France,130887897.251
Free Zone Jabal Ali,13550070.166
Free Zone Oman,194994.763
Gabon,242581.431
Gambia,3872.6809999999996
Georgia,148681.231
Germany,184226097.971
Ghana,36426.004
Greece,5066121.8549999995
Guadeloupe,12068.801
Guam,382.153
Guatemala,1849827.556
Guinea,451.201
Guyana,579.365
Haiti,1915.886
Holy See,2037.89
Honduras,166679.56
Hong Kong,1838846.8
Hungary,9964771.591
Iceland,44303.205
India,310160951.275
Indonesia,50186160.824
Iran,8670439.722000001
Iraq,159586.463
Ireland,34482391.312
Israel,677433.224
Italy,171270545.619
Ivory Coast,2044864.724
Jamaica,14327.681
Japan,244467003.858
Jordan,30147728.012000002
Kazakhstan,35810.509
Kenya,9778594.067
Kuwait,52873955.971
Kyrgyzstan,18509.798
Lao People' S Dem Republic,114891.15
Latvia,412627.084
Lebanon,1297743.915
Lesotho,2639.437
Liberia,2089.13
Libya,454.11
Liechtenstein,76407.167
Lithuania,2754547.363
Luxembourg,495662.801
Macau,25849.661
Macedonia,72733.041
Madagascar,206151.763
Malaysia,28431384.877
Maldive Islands,7822.112
Mali,2443936.413
Malta,970411.6140000001
Martinique,30.976000000000003
Mauritania,3123.014
Mauritius,148615.177
Mexico,26707595.889
Monaco,22473.16
Mongolia,4648.772
Montenegro,22695.889
Morocco,4382713.869
Mozambique,23033.944000000003
Myanmar,2421760.585
Namibia,61323.848
Nauru,190756.19
Nepal,161714.46500000003
Netherlands,44620904.998
Netherlands Antilles,2330.734
Neutral Zone,262.57
New Caledonia,13689.725999999999
New Zealand,17962518.008
Nicaragua,42065.591
Niger,9873.434000000001
Nigeria,5570279.089
Northern Mariana Islands,49163.404
Norway,3910999.878
Pakistan,30182113.963
Palestine,219598.55599999998
Panama,126846.264
Papua New Guinea,16267.135
Paraguay,225444.774
Peru,803991.024
Philippines,9249432.21
Pitcairn,2.28
Poland,46087369.269
Portugal,6361190.823
Puerto Rico,825361.8539999999
Qatar,21345444.738
Repablic Of Congo,25875.728
Republic Of Korea,71781008.324
Republic Of Kosovo,36866.201
Republic Of Moldova,173117.402
Returned Bahrain Goods,5428698.44
Reunion,9742.384
Romania,6963536.842
Russian Federation,3330307.866
Rwanda,19334.081
Saint Helena,815.29
Saint Kitts And Nevis,10455.661
Saint Pierre & Miquelon,21.069
San Marino,11114.833
Sao Tome And Principe,18903.675
Saudi Arabia,376309011.732
Senegal,4440.143
Serbia,1717927.253
Serbia And Montenegro,1037.156
Seychelles,41677.074
Sierra Leone,85333.169
Singapore,37922538.311
Slovakia,12064298.818
Slovenia,4372075.996
Solomon Islands,1701.1599999999999
Somalia,6049815.498
Somoa,87.69999999999999
South Africa,18458156.802
Spain,68029672.573
Sri Lanka,4740457.455
Sudan,518057.704
Sultanate Oman,51788509.565
Supply Of Ships And Aircrafts,32409.006999999998
Suriname,11330.731
Swaziland,232.076
Sweden,14659826.766
Switzerland,116276720.66600001
Syria,4189913.4190000007
Tahiti,97330.059
Taiwan,22380147.63
Tajikistan,6123.677
Tanzania,1337088.64
Thailand,82923453.707
Timor Eastern,40956.198000000004
Togo,163709.54
Tokelau,30944.882999999998
Tonga,6779.16
Trinidad&Tobago,25327.921
Tunisia,2039662.879
Turkey,67880700.093
Turkmenistan,542.281
Turks & Caicos,653.74
Uganda,126791.845
Ukraine,2734436.667
United Arab Emirates,444932054.506
United Kingdom,199092245.60999998
United States Minor Outlying Islands,45.63
United States Of America,358534474.17
Uruguay,802527.474
Uzbekistan,576515.504
Venezuela,57500.011
Vietnam,60924405.59568
Virgin Is (Usa),48928.826
Wallis And Futuna,4683.280000000001
Western Samoa,1738.68
Yemen,3183528.813
Zambia,647949.438
Zimbabwe,38492.313
